title,project,rent_or_sale,price,bedrooms,bathrooms,size_sqft,tag,rental_demand_score,target_tenant_type,agent_name,agent_whatsapp,source_url
Sky Loft 2-Bedroom — Bukit Indah,Bukit Indah,rent,1800,2,2,1023,investment,5,Local Family,Agent S03-150,60120003150,https://propertyguru.com.my/listing/bukit-indah-s03-150
Nusa Bestari Studio — Bukit Indah,Bukit Indah,rent,2100,0,1,450,family,4,Local Family,Agent S03-151,60120003151,https://propertyguru.com.my/listing/bukit-indah-s03-151
Pinnacle 2-Bedroom — Bukit Indah,Bukit Indah,rent,2400,2,2,933,family,5,Local Family,Agent S03-152,60120003152,https://propertyguru.com.my/listing/bukit-indah-s03-152
Greenfield Studio — Bukit Indah,Bukit Indah,rent,2750,0,1,486,commuter,5,Local Family,Agent S03-153,60120003153,https://propertyguru.com.my/listing/bukit-indah-s03-153
Central Park 2-Bedroom — Bukit Indah,Bukit Indah,rent,3050,2,2,969,investment,4,Local Family,Agent S03-154,60120003154,https://propertyguru.com.my/listing/bukit-indah-s03-154
Sky Loft Studio — Bukit Indah,Bukit Indah,rent,1800,0,1,522,family,5,Local Family,Agent S03-155,60120003155,https://propertyguru.com.my/listing/bukit-indah-s03-155
Nusa Bestari 2-Bedroom — Bukit Indah,Bukit Indah,rent,2100,2,2,1005,family,5,Local Family,Agent S03-156,60120003156,https://propertyguru.com.my/listing/bukit-indah-s03-156
Pinnacle Studio — Bukit Indah,Bukit Indah,rent,2400,0,1,558,commuter,4,Local Family,Agent S03-157,60120003157,https://propertyguru.com.my/listing/bukit-indah-s03-157
Greenfield 2-Bedroom — Bukit Indah,Bukit Indah,rent,2750,2,2,915,investment,5,Local Family,Agent S03-158,60120003158,https://propertyguru.com.my/listing/bukit-indah-s03-158
Central Park Studio — Bukit Indah,Bukit Indah,rent,3050,0,1,468,family,5,Local Family,Agent S03-159,60120003159,https://propertyguru.com.my/listing/bukit-indah-s03-159
Sky Loft 2-Bedroom — Bukit Indah,Bukit Indah,rent,1800,2,2,951,family,4,Local Family,Agent S03-160,60120003160,https://propertyguru.com.my/listing/bukit-indah-s03-160
Nusa Bestari Studio — Bukit Indah,Bukit Indah,rent,2100,0,1,504,commuter,5,Local Family,Agent S03-161,60120003161,https://propertyguru.com.my/listing/bukit-indah-s03-161
Pinnacle 2-Bedroom — Bukit Indah,Bukit Indah,rent,2400,2,2,987,investment,5,Local Family,Agent S03-162,60120003162,https://propertyguru.com.my/listing/bukit-indah-s03-162
Greenfield Studio — Bukit Indah,Bukit Indah,rent,2750,0,1,540,family,4,Local Family,Agent S03-163,60120003163,https://propertyguru.com.my/listing/bukit-indah-s03-163
Central Park 2-Bedroom — Bukit Indah,Bukit Indah,rent,3050,2,2,1023,family,5,Local Family,Agent S03-164,60120003164,https://propertyguru.com.my/listing/bukit-indah-s03-164
Sky Loft Studio — Bukit Indah,Bukit Indah,rent,1800,0,1,450,commuter,5,Local Family,Agent S03-165,60120003165,https://propertyguru.com.my/listing/bukit-indah-s03-165
Nusa Bestari 2-Bedroom — Bukit Indah,Bukit Indah,rent,2100,2,2,933,investment,4,Local Family,Agent S03-166,60120003166,https://propertyguru.com.my/listing/bukit-indah-s03-166
Pinnacle Studio — Bukit Indah,Bukit Indah,rent,2400,0,1,486,family,5,Local Family,Agent S03-167,60120003167,https://propertyguru.com.my/listing/bukit-indah-s03-167
Greenfield 2-Bedroom — Bukit Indah,Bukit Indah,rent,2750,2,2,969,family,5,Local Family,Agent S03-168,60120003168,https://propertyguru.com.my/listing/bukit-indah-s03-168
Central Park Studio — Bukit Indah,Bukit Indah,rent,3050,0,1,522,commuter,4,Local Family,Agent S03-169,60120003169,https://propertyguru.com.my/listing/bukit-indah-s03-169
Sky Loft 2-Bedroom — Bukit Indah,Bukit Indah,rent,1800,2,2,1005,investment,5,Local Family,Agent S03-170,60120003170,https://propertyguru.com.my/listing/bukit-indah-s03-170
Nusa Bestari Studio — Bukit Indah,Bukit Indah,rent,2100,0,1,558,family,5,Local Family,Agent S03-171,60120003171,https://propertyguru.com.my/listing/bukit-indah-s03-171
Pinnacle 2-Bedroom — Bukit Indah,Bukit Indah,rent,2400,2,2,915,family,4,Local Family,Agent S03-172,60120003172,https://propertyguru.com.my/listing/bukit-indah-s03-172
Austin Suites 1-Bedroom — Mount Austin,Mount Austin,rent,2600,1,1,635,investment,4,Local Family,Agent S03-173,60120003173,https://propertyguru.com.my/listing/mount-austin-s03-173
Palas Residences 3-Bedroom — Mount Austin,Mount Austin,rent,3000,3,2,1293,commuter,5,Local Family,Agent S03-174,60120003174,https://propertyguru.com.my/listing/mount-austin-s03-174
Austin Heights 1-Bedroom — Mount Austin,Mount Austin,rent,3400,1,1,671,family,5,Local Family,Agent S03-175,60120003175,https://propertyguru.com.my/listing/mount-austin-s03-175
Sky Oasis 3-Bedroom — Mount Austin,Mount Austin,rent,3800,3,2,1329,commuter,4,Local Family,Agent S03-176,60120003176,https://propertyguru.com.my/listing/mount-austin-s03-176
Austin Ville 1-Bedroom — Mount Austin,Mount Austin,rent,2200,1,1,707,investment,5,Local Family,Agent S03-177,60120003177,https://propertyguru.com.my/listing/mount-austin-s03-177
Austin Suites 3-Bedroom — Mount Austin,Mount Austin,rent,2600,3,2,1365,commuter,5,Local Family,Agent S03-178,60120003178,https://propertyguru.com.my/listing/mount-austin-s03-178
Palas Residences 1-Bedroom — Mount Austin,Mount Austin,rent,3000,1,1,743,family,4,Local Family,Agent S03-179,60120003179,https://propertyguru.com.my/listing/mount-austin-s03-179
Austin Heights 3-Bedroom — Mount Austin,Mount Austin,rent,3400,3,2,1275,commuter,5,Local Family,Agent S03-180,60120003180,https://propertyguru.com.my/listing/mount-austin-s03-180
Sky Oasis 1-Bedroom — Mount Austin,Mount Austin,rent,3800,1,1,653,investment,5,Local Family,Agent S03-181,60120003181,https://propertyguru.com.my/listing/mount-austin-s03-181
Austin Ville 3-Bedroom — Mount Austin,Mount Austin,rent,2200,3,2,1311,commuter,4,Local Family,Agent S03-182,60120003182,https://propertyguru.com.my/listing/mount-austin-s03-182
Austin Suites 1-Bedroom — Mount Austin,Mount Austin,rent,2600,1,1,689,family,5,Local Family,Agent S03-183,60120003183,https://propertyguru.com.my/listing/mount-austin-s03-183
Palas Residences 3-Bedroom — Mount Austin,Mount Austin,rent,3000,3,2,1347,commuter,5,Local Family,Agent S03-184,60120003184,https://propertyguru.com.my/listing/mount-austin-s03-184
Austin Heights 1-Bedroom — Mount Austin,Mount Austin,rent,3400,1,1,725,investment,4,Local Family,Agent S03-185,60120003185,https://propertyguru.com.my/listing/mount-austin-s03-185
Sky Oasis 3-Bedroom — Mount Austin,Mount Austin,rent,3800,3,2,1383,commuter,5,Local Family,Agent S03-186,60120003186,https://propertyguru.com.my/listing/mount-austin-s03-186
Austin Ville 1-Bedroom — Mount Austin,Mount Austin,rent,2200,1,1,635,family,5,Local Family,Agent S03-187,60120003187,https://propertyguru.com.my/listing/mount-austin-s03-187
Austin Suites 3-Bedroom — Mount Austin,Mount Austin,rent,2600,3,2,1293,commuter,4,Local Family,Agent S03-188,60120003188,https://propertyguru.com.my/listing/mount-austin-s03-188
Palas Residences 1-Bedroom — Mount Austin,Mount Austin,rent,3000,1,1,671,investment,5,Local Family,Agent S03-189,60120003189,https://propertyguru.com.my/listing/mount-austin-s03-189
Austin Heights 3-Bedroom — Mount Austin,Mount Austin,rent,3400,3,2,1329,commuter,5,Local Family,Agent S03-190,60120003190,https://propertyguru.com.my/listing/mount-austin-s03-190
Sky Oasis 1-Bedroom — Mount Austin,Mount Austin,rent,3800,1,1,707,family,4,Local Family,Agent S03-191,60120003191,https://propertyguru.com.my/listing/mount-austin-s03-191
Austin Ville 3-Bedroom — Mount Austin,Mount Austin,rent,2200,3,2,1365,commuter,5,Local Family,Agent S03-192,60120003192,https://propertyguru.com.my/listing/mount-austin-s03-192
Austin Suites 1-Bedroom — Mount Austin,Mount Austin,rent,2600,1,1,743,investment,5,Local Family,Agent S03-193,60120003193,https://propertyguru.com.my/listing/mount-austin-s03-193
Palas Residences 3-Bedroom — Mount Austin,Mount Austin,rent,3000,3,2,1275,commuter,4,Local Family,Agent S03-194,60120003194,https://propertyguru.com.my/listing/mount-austin-s03-194
Austin Heights 1-Bedroom — Mount Austin,Mount Austin,rent,3400,1,1,653,family,5,Local Family,Agent S03-195,60120003195,https://propertyguru.com.my/listing/mount-austin-s03-195
Sky Oasis 3-Bedroom — Mount Austin,Mount Austin,rent,3800,3,2,1311,commuter,5,Local Family,Agent S03-196,60120003196,https://propertyguru.com.my/listing/mount-austin-s03-196
Austin Ville 1-Bedroom — Mount Austin,Mount Austin,rent,2200,1,1,689,investment,4,Local Family,Agent S03-197,60120003197,https://propertyguru.com.my/listing/mount-austin-s03-197
Austin Suites 3-Bedroom — Mount Austin,Mount Austin,rent,2600,3,2,1347,commuter,5,Local Family,Agent S03-198,60120003198,https://propertyguru.com.my/listing/mount-austin-s03-198
Palas Residences 1-Bedroom — Mount Austin,Mount Austin,rent,3000,1,1,725,family,5,Local Family,Agent S03-199,60120003199,https://propertyguru.com.my/listing/mount-austin-s03-199
Austin Heights 3-Bedroom — Mount Austin,Mount Austin,rent,3400,3,2,1383,commuter,4,Local Family,Agent S03-200,60120003200,https://propertyguru.com.my/listing/mount-austin-s03-200
Sky Oasis 1-Bedroom — Mount Austin,Mount Austin,rent,3800,1,1,635,investment,5,Local Family,Agent S03-201,60120003201,https://propertyguru.com.my/listing/mount-austin-s03-201
Austin Ville 3-Bedroom — Mount Austin,Mount Austin,rent,2200,3,2,1293,commuter,5,Local Family,Agent S03-202,60120003202,https://propertyguru.com.my/listing/mount-austin-s03-202
Austin Suites 1-Bedroom — Mount Austin,Mount Austin,rent,2600,1,1,671,family,4,Local Family,Agent S03-203,60120003203,https://propertyguru.com.my/listing/mount-austin-s03-203
Palas Residences 3-Bedroom — Mount Austin,Mount Austin,rent,3000,3,2,1329,commuter,5,Local Family,Agent S03-204,60120003204,https://propertyguru.com.my/listing/mount-austin-s03-204
Austin Heights 1-Bedroom — Mount Austin,Mount Austin,rent,3400,1,1,707,investment,5,Local Family,Agent S03-205,60120003205,https://propertyguru.com.my/listing/mount-austin-s03-205
Sky Oasis 3-Bedroom — Mount Austin,Mount Austin,rent,3800,3,2,1365,commuter,4,Local Family,Agent S03-206,60120003206,https://propertyguru.com.my/listing/mount-austin-s03-206
Austin Ville 1-Bedroom — Mount Austin,Mount Austin,rent,2200,1,1,743,family,5,Local Family,Agent S03-207,60120003207,https://propertyguru.com.my/listing/mount-austin-s03-207
Austin Suites 3-Bedroom — Mount Austin,Mount Austin,rent,2600,3,2,1275,commuter,5,Local Family,Agent S03-208,60120003208,https://propertyguru.com.my/listing/mount-austin-s03-208
Palas Residences 1-Bedroom — Mount Austin,Mount Austin,rent,3000,1,1,653,investment,4,Local Family,Agent S03-209,60120003209,https://propertyguru.com.my/listing/mount-austin-s03-209
Austin Heights 3-Bedroom — Mount Austin,Mount Austin,rent,3400,3,2,1311,commuter,5,Local Family,Agent S03-210,60120003210,https://propertyguru.com.my/listing/mount-austin-s03-210
Sky Oasis 1-Bedroom — Mount Austin,Mount Austin,rent,3800,1,1,689,family,5,Local Family,Agent S03-211,60120003211,https://propertyguru.com.my/listing/mount-austin-s03-211
Austin Ville 3-Bedroom — Mount Austin,Mount Austin,rent,2200,3,2,1347,commuter,4,Local Family,Agent S03-212,60120003212,https://propertyguru.com.my/listing/mount-austin-s03-212
Austin Suites 1-Bedroom — Mount Austin,Mount Austin,rent,2600,1,1,725,investment,5,Local Family,Agent S03-213,60120003213,https://propertyguru.com.my/listing/mount-austin-s03-213
Palas Residences 3-Bedroom — Mount Austin,Mount Austin,rent,3000,3,2,1383,commuter,5,Local Family,Agent S03-214,60120003214,https://propertyguru.com.my/listing/mount-austin-s03-214
Austin Heights 1-Bedroom — Mount Austin,Mount Austin,rent,3400,1,1,635,family,4,Local Family,Agent S03-215,60120003215,https://propertyguru.com.my/listing/mount-austin-s03-215
Eco Sanctuary Studio — Eco Botanic,Eco Botanic,rent,3100,0,1,450,investment,3,Local Family,Agent S03-216,60120003216,https://propertyguru.com.my/listing/eco-botanic-s03-216
Eco Spring 2-Bedroom — Eco Botanic,Eco Botanic,rent,3450,2,2,933,family,4,Local Family,Agent S03-217,60120003217,https://propertyguru.com.my/listing/eco-botanic-s03-217
Eco Tropics Studio — Eco Botanic,Eco Botanic,rent,2100,0,1,486,family,4,Local Family,Agent S03-218,60120003218,https://propertyguru.com.my/listing/eco-botanic-s03-218
Eco Majestic 2-Bedroom — Eco Botanic,Eco Botanic,rent,2450,2,2,969,commuter,3,Local Family,Agent S03-219,60120003219,https://propertyguru.com.my/listing/eco-botanic-s03-219
Eco Ardence Studio — Eco Botanic,Eco Botanic,rent,2750,0,1,522,investment,4,Local Family,Agent S03-220,60120003220,https://propertyguru.com.my/listing/eco-botanic-s03-220
Eco Sanctuary 2-Bedroom — Eco Botanic,Eco Botanic,rent,3100,2,2,1005,family,4,Local Family,Agent S03-221,60120003221,https://propertyguru.com.my/listing/eco-botanic-s03-221
Eco Spring Studio — Eco Botanic,Eco Botanic,rent,3450,0,1,558,family,3,Local Family,Agent S03-222,60120003222,https://propertyguru.com.my/listing/eco-botanic-s03-222
Eco Tropics 2-Bedroom — Eco Botanic,Eco Botanic,rent,2100,2,2,915,commuter,4,Local Family,Agent S03-223,60120003223,https://propertyguru.com.my/listing/eco-botanic-s03-223
Eco Majestic Studio — Eco Botanic,Eco Botanic,rent,2450,0,1,468,investment,4,Local Family,Agent S03-224,60120003224,https://propertyguru.com.my/listing/eco-botanic-s03-224
Eco Ardence 2-Bedroom — Eco Botanic,Eco Botanic,rent,2750,2,2,951,family,3,Local Family,Agent S03-225,60120003225,https://propertyguru.com.my/listing/eco-botanic-s03-225
Eco Sanctuary Studio — Eco Botanic,Eco Botanic,rent,3100,0,1,504,family,4,Local Family,Agent S03-226,60120003226,https://propertyguru.com.my/listing/eco-botanic-s03-226
Eco Spring 2-Bedroom — Eco Botanic,Eco Botanic,rent,3450,2,2,987,commuter,4,Local Family,Agent S03-227,60120003227,https://propertyguru.com.my/listing/eco-botanic-s03-227
Eco Tropics Studio — Eco Botanic,Eco Botanic,rent,2100,0,1,540,investment,3,Local Family,Agent S03-228,60120003228,https://propertyguru.com.my/listing/eco-botanic-s03-228
Eco Majestic 2-Bedroom — Eco Botanic,Eco Botanic,rent,2450,2,2,1023,family,4,Local Family,Agent S03-229,60120003229,https://propertyguru.com.my/listing/eco-botanic-s03-229
Eco Ardence Studio — Eco Botanic,Eco Botanic,rent,2750,0,1,450,family,4,Local Family,Agent S03-230,60120003230,https://propertyguru.com.my/listing/eco-botanic-s03-230
Eco Sanctuary 2-Bedroom — Eco Botanic,Eco Botanic,rent,3100,2,2,933,commuter,3,Local Family,Agent S03-231,60120003231,https://propertyguru.com.my/listing/eco-botanic-s03-231
Eco Spring Studio — Eco Botanic,Eco Botanic,rent,3450,0,1,486,investment,4,Local Family,Agent S03-232,60120003232,https://propertyguru.com.my/listing/eco-botanic-s03-232
Eco Tropics 2-Bedroom — Eco Botanic,Eco Botanic,rent,2100,2,2,969,family,4,Local Family,Agent S03-233,60120003233,https://propertyguru.com.my/listing/eco-botanic-s03-233
Eco Majestic Studio — Eco Botanic,Eco Botanic,rent,2450,0,1,522,family,3,Local Family,Agent S03-234,60120003234,https://propertyguru.com.my/listing/eco-botanic-s03-234
Eco Ardence 2-Bedroom — Eco Botanic,Eco Botanic,rent,2750,2,2,1005,commuter,4,Local Family,Agent S03-235,60120003235,https://propertyguru.com.my/listing/eco-botanic-s03-235
Eco Sanctuary Studio — Eco Botanic,Eco Botanic,rent,3100,0,1,558,investment,4,Local Family,Agent S03-236,60120003236,https://propertyguru.com.my/listing/eco-botanic-s03-236
Eco Spring 2-Bedroom — Eco Botanic,Eco Botanic,rent,3450,2,2,915,family,3,Local Family,Agent S03-237,60120003237,https://propertyguru.com.my/listing/eco-botanic-s03-237
Eco Tropics Studio — Eco Botanic,Eco Botanic,rent,2100,0,1,468,family,4,Local Family,Agent S03-238,60120003238,https://propertyguru.com.my/listing/eco-botanic-s03-238
Eco Majestic 2-Bedroom — Eco Botanic,Eco Botanic,rent,2450,2,2,951,commuter,4,Local Family,Agent S03-239,60120003239,https://propertyguru.com.my/listing/eco-botanic-s03-239
Eco Ardence Studio — Eco Botanic,Eco Botanic,rent,2750,0,1,504,investment,3,Local Family,Agent S03-240,60120003240,https://propertyguru.com.my/listing/eco-botanic-s03-240
Eco Sanctuary 2-Bedroom — Eco Botanic,Eco Botanic,rent,3100,2,2,987,family,4,Local Family,Agent S03-241,60120003241,https://propertyguru.com.my/listing/eco-botanic-s03-241
Eco Spring Studio — Eco Botanic,Eco Botanic,rent,3450,0,1,540,family,4,Local Family,Agent S03-242,60120003242,https://propertyguru.com.my/listing/eco-botanic-s03-242
Eco Tropics 2-Bedroom — Eco Botanic,Eco Botanic,rent,2100,2,2,1023,commuter,3,Local Family,Agent S03-243,60120003243,https://propertyguru.com.my/listing/eco-botanic-s03-243
Eco Majestic Studio — Eco Botanic,Eco Botanic,rent,2450,0,1,450,investment,4,Local Family,Agent S03-244,60120003244,https://propertyguru.com.my/listing/eco-botanic-s03-244
Eco Ardence 2-Bedroom — Eco Botanic,Eco Botanic,rent,2750,2,2,933,family,4,Local Family,Agent S03-245,60120003245,https://propertyguru.com.my/listing/eco-botanic-s03-245
Eco Sanctuary Studio — Eco Botanic,Eco Botanic,rent,3100,0,1,486,family,3,Local Family,Agent S03-246,60120003246,https://propertyguru.com.my/listing/eco-botanic-s03-246
Eco Spring 2-Bedroom — Eco Botanic,Eco Botanic,rent,3450,2,2,969,commuter,4,Local Family,Agent S03-247,60120003247,https://propertyguru.com.my/listing/eco-botanic-s03-247
Eco Tropics Studio — Eco Botanic,Eco Botanic,rent,2100,0,1,522,investment,4,Local Family,Agent S03-248,60120003248,https://propertyguru.com.my/listing/eco-botanic-s03-248
Eco Majestic 2-Bedroom — Eco Botanic,Eco Botanic,rent,2450,2,2,1005,family,3,Local Family,Agent S03-249,60120003249,https://propertyguru.com.my/listing/eco-botanic-s03-249
Eco Ardence Studio — Eco Botanic,Eco Botanic,rent,2750,0,1,558,family,4,Local Family,Agent S03-250,60120003250,https://propertyguru.com.my/listing/eco-botanic-s03-250
Eco Sanctuary 2-Bedroom — Eco Botanic,Eco Botanic,rent,3100,2,2,915,commuter,4,Local Family,Agent S03-251,60120003251,https://propertyguru.com.my/listing/eco-botanic-s03-251
Eco Spring Studio — Eco Botanic,Eco Botanic,rent,3450,0,1,468,investment,3,Local Family,Agent S03-252,60120003252,https://propertyguru.com.my/listing/eco-botanic-s03-252
Eco Tropics 2-Bedroom — Eco Botanic,Eco Botanic,rent,2100,2,2,951,family,4,Local Family,Agent S03-253,60120003253,https://propertyguru.com.my/listing/eco-botanic-s03-253
Eco Majestic Studio — Eco Botanic,Eco Botanic,rent,2450,0,1,504,family,4,Local Family,Agent S03-254,60120003254,https://propertyguru.com.my/listing/eco-botanic-s03-254
Eco Ardence 2-Bedroom — Eco Botanic,Eco Botanic,rent,2750,2,2,987,commuter,3,Local Family,Agent S03-255,60120003255,https://propertyguru.com.my/listing/eco-botanic-s03-255
Eco Sanctuary Studio — Eco Botanic,Eco Botanic,rent,3100,0,1,540,investment,4,Local Family,Agent S03-256,60120003256,https://propertyguru.com.my/listing/eco-botanic-s03-256
Eco Spring 2-Bedroom — Eco Botanic,Eco Botanic,rent,3450,2,2,1023,family,4,Local Family,Agent S03-257,60120003257,https://propertyguru.com.my/listing/eco-botanic-s03-257
Eco Tropics Studio — Eco Botanic,Eco Botanic,rent,2100,0,1,450,family,3,Local Family,Agent S03-258,60120003258,https://propertyguru.com.my/listing/eco-botanic-s03-258
Medini Signature 3-Bedroom — Medini,Medini,rent,3000,3,2,1275,investment,3,Singapore Commuter,Agent S03-259,60120003259,https://propertyguru.com.my/listing/medini-s03-259
Legoland View 1-Bedroom — Medini,Medini,rent,1750,1,1,653,commuter,4,Singapore Commuter,Agent S03-260,60120003260,https://propertyguru.com.my/listing/medini-s03-260
Sunway Iskandar 3-Bedroom — Medini,Medini,rent,2050,3,2,1311,family,4,Singapore Commuter,Agent S03-261,60120003261,https://propertyguru.com.my/listing/medini-s03-261
Pinnacle Medini 1-Bedroom — Medini,Medini,rent,2400,1,1,689,commuter,3,Singapore Commuter,Agent S03-262,60120003262,https://propertyguru.com.my/listing/medini-s03-262
Nusajaya Central 3-Bedroom — Medini,Medini,rent,2700,3,2,1347,investment,4,Singapore Commuter,Agent S03-263,60120003263,https://propertyguru.com.my/listing/medini-s03-263
Medini Signature 1-Bedroom — Medini,Medini,rent,3000,1,1,725,commuter,4,Singapore Commuter,Agent S03-264,60120003264,https://propertyguru.com.my/listing/medini-s03-264
Legoland View 3-Bedroom — Medini,Medini,rent,1750,3,2,1383,family,3,Singapore Commuter,Agent S03-265,60120003265,https://propertyguru.com.my/listing/medini-s03-265
Sunway Iskandar 1-Bedroom — Medini,Medini,rent,2050,1,1,635,commuter,4,Singapore Commuter,Agent S03-266,60120003266,https://propertyguru.com.my/listing/medini-s03-266
Pinnacle Medini 3-Bedroom — Medini,Medini,rent,2400,3,2,1293,investment,4,Singapore Commuter,Agent S03-267,60120003267,https://propertyguru.com.my/listing/medini-s03-267
Nusajaya Central 1-Bedroom — Medini,Medini,rent,2700,1,1,671,commuter,3,Singapore Commuter,Agent S03-268,60120003268,https://propertyguru.com.my/listing/medini-s03-268
Medini Signature 3-Bedroom — Medini,Medini,rent,3000,3,2,1329,family,4,Singapore Commuter,Agent S03-269,60120003269,https://propertyguru.com.my/listing/medini-s03-269
Legoland View 1-Bedroom — Medini,Medini,rent,1750,1,1,707,commuter,4,Singapore Commuter,Agent S03-270,60120003270,https://propertyguru.com.my/listing/medini-s03-270
Sunway Iskandar 3-Bedroom — Medini,Medini,rent,2050,3,2,1365,investment,3,Singapore Commuter,Agent S03-271,60120003271,https://propertyguru.com.my/listing/medini-s03-271
Pinnacle Medini 1-Bedroom — Medini,Medini,rent,2400,1,1,743,commuter,4,Singapore Commuter,Agent S03-272,60120003272,https://propertyguru.com.my/listing/medini-s03-272
Nusajaya Central 3-Bedroom — Medini,Medini,rent,2700,3,2,1275,family,4,Singapore Commuter,Agent S03-273,60120003273,https://propertyguru.com.my/listing/medini-s03-273
Medini Signature 1-Bedroom — Medini,Medini,rent,3000,1,1,653,commuter,3,Singapore Commuter,Agent S03-274,60120003274,https://propertyguru.com.my/listing/medini-s03-274
Legoland View 3-Bedroom — Medini,Medini,rent,1750,3,2,1311,investment,4,Singapore Commuter,Agent S03-275,60120003275,https://propertyguru.com.my/listing/medini-s03-275
Sunway Iskandar 1-Bedroom — Medini,Medini,rent,2050,1,1,689,commuter,4,Singapore Commuter,Agent S03-276,60120003276,https://propertyguru.com.my/listing/medini-s03-276
Pinnacle Medini 3-Bedroom — Medini,Medini,rent,2400,3,2,1347,family,3,Singapore Commuter,Agent S03-277,60120003277,https://propertyguru.com.my/listing/medini-s03-277
Nusajaya Central 1-Bedroom — Medini,Medini,rent,2700,1,1,725,commuter,4,Singapore Commuter,Agent S03-278,60120003278,https://propertyguru.com.my/listing/medini-s03-278
Medini Signature 3-Bedroom — Medini,Medini,rent,3000,3,2,1383,investment,4,Singapore Commuter,Agent S03-279,60120003279,https://propertyguru.com.my/listing/medini-s03-279
Legoland View 1-Bedroom — Medini,Medini,rent,1750,1,1,635,commuter,3,Singapore Commuter,Agent S03-280,60120003280,https://propertyguru.com.my/listing/medini-s03-280
Sunway Iskandar 3-Bedroom — Medini,Medini,rent,2050,3,2,1293,family,4,Singapore Commuter,Agent S03-281,60120003281,https://propertyguru.com.my/listing/medini-s03-281
Pinnacle Medini 1-Bedroom — Medini,Medini,rent,2400,1,1,671,commuter,4,Singapore Commuter,Agent S03-282,60120003282,https://propertyguru.com.my/listing/medini-s03-282
Nusajaya Central 3-Bedroom — Medini,Medini,rent,2700,3,2,1329,investment,3,Singapore Commuter,Agent S03-283,60120003283,https://propertyguru.com.my/listing/medini-s03-283
Medini Signature 1-Bedroom — Medini,Medini,rent,3000,1,1,707,commuter,4,Singapore Commuter,Agent S03-284,60120003284,https://propertyguru.com.my/listing/medini-s03-284
Legoland View 3-Bedroom — Medini,Medini,rent,1750,3,2,1365,family,4,Singapore Commuter,Agent S03-285,60120003285,https://propertyguru.com.my/listing/medini-s03-285
Sunway Iskandar 1-Bedroom — Medini,Medini,rent,2050,1,1,743,commuter,3,Singapore Commuter,Agent S03-286,60120003286,https://propertyguru.com.my/listing/medini-s03-286
Pinnacle Medini 3-Bedroom — Medini,Medini,rent,2400,3,2,1275,investment,4,Singapore Commuter,Agent S03-287,60120003287,https://propertyguru.com.my/listing/medini-s03-287
Nusajaya Central 1-Bedroom — Medini,Medini,rent,2700,1,1,653,commuter,4,Singapore Commuter,Agent S03-288,60120003288,https://propertyguru.com.my/listing/medini-s03-288
Medini Signature 3-Bedroom — Medini,Medini,rent,3000,3,2,1311,family,3,Singapore Commuter,Agent S03-289,60120003289,https://propertyguru.com.my/listing/medini-s03-289
Legoland View 1-Bedroom — Medini,Medini,rent,1750,1,1,689,commuter,4,Singapore Commuter,Agent S03-290,60120003290,https://propertyguru.com.my/listing/medini-s03-290
Sunway Iskandar 3-Bedroom — Medini,Medini,rent,2050,3,2,1347,investment,4,Singapore Commuter,Agent S03-291,60120003291,https://propertyguru.com.my/listing/medini-s03-291
Pinnacle Medini 1-Bedroom — Medini,Medini,rent,2400,1,1,725,commuter,3,Singapore Commuter,Agent S03-292,60120003292,https://propertyguru.com.my/listing/medini-s03-292
Nusajaya Central 3-Bedroom — Medini,Medini,rent,2700,3,2,1383,family,4,Singapore Commuter,Agent S03-293,60120003293,https://propertyguru.com.my/listing/medini-s03-293
Medini Signature 1-Bedroom — Medini,Medini,rent,3000,1,1,635,commuter,4,Singapore Commuter,Agent S03-294,60120003294,https://propertyguru.com.my/listing/medini-s03-294
Legoland View 3-Bedroom — Medini,Medini,rent,1750,3,2,1293,investment,3,Singapore Commuter,Agent S03-295,60120003295,https://propertyguru.com.my/listing/medini-s03-295
Sunway Iskandar 1-Bedroom — Medini,Medini,rent,2050,1,1,671,commuter,4,Singapore Commuter,Agent S03-296,60120003296,https://propertyguru.com.my/listing/medini-s03-296
Pinnacle Medini 3-Bedroom — Medini,Medini,rent,2400,3,2,1329,family,4,Singapore Commuter,Agent S03-297,60120003297,https://propertyguru.com.my/listing/medini-s03-297
Nusajaya Central 1-Bedroom — Medini,Medini,rent,2700,1,1,707,commuter,3,Singapore Commuter,Agent S03-298,60120003298,https://propertyguru.com.my/listing/medini-s03-298
Medini Signature 3-Bedroom — Medini,Medini,rent,3000,3,2,1365,investment,4,Singapore Commuter,Agent S03-299,60120003299,https://propertyguru.com.my/listing/medini-s03-299
Legoland View 1-Bedroom — Medini,Medini,rent,1750,1,1,743,commuter,4,Singapore Commuter,Agent S03-300,60120003300,https://propertyguru.com.my/listing/medini-s03-300
